2889,國票金,7.26,108,13.14,0.92,109/1
2890,永豐金,5.93,108,12.04,0.91,109/1
2891,中信金,5.01,108,9.07,1.17,109/1
2892,第一金,5.91,108,16.32,1.32,109/1
2897,王道銀行,5.78,108,25.63,0.57,109/1
2901,欣欣,1.79,108,53.1,1.85,109/1
2903,遠百,3.33,108,24,1.13,109/1
2904,匯僑,6.76,108,12.91,1.64,109/1
2905,三商,9.05,108,4.59,1.06,109/1
2906,高林,2.5,108,70.59,0.9,109/1
2908,特力,3.73,108,211.67,1.56,109/1
2910,統領,2.2,108,102.58,2.53,109/1
2911,麗嬰房,0,107,-,0.47,109/1
2912,統一超,3.05,108,30.15,7.9,109/1
2913,農林,2.01,107,-,0.75,109/1
2915,潤泰全,7.66,108,3.62,0.67,109/1
2923,鼎固-KY,9.12,108,-,0.83,109/1
2929,淘帝-KY,2.94,108,6.34,0.99,109/1
2936,客思達-KY,0,107,-,0.44,109/1
2939,凱羿-KY,3.31,108,32.08,5.44,109/1
3002,歐格,4.54,108,26.54,0.85,109/1
3003,健和興,2.41,108,14.04,1.39,109/1
3004,豐達科,4.6,108,8.79,1.65,109/1
3005,神基,6.39,108,12.34,1.89,109/1
3006,晶豪科,2.45,108,15.53,1.42,109/1
3008,大立光,2.06,108,17.19,3.86,109/1
3010,華立,5.98,108,8.85,1.1,109/1
3011,今皓,0,107,-,0.6,109/1
3013,晟銘電,2.38,108,14,0.86,109/1
3014,聯陽,5.59,108,16.25,2.32,109/1
3015,全漢,6.59,108,28.8,0.52,109/1
3016,嘉晶,0.36,108,1,390.00,5.05,109/1
3017,奇鋐,3.25,108,14.53,1.56,109/1
3018,同開,0,107,-,2.26,109/1
3019,亞光,2.92,108,25.85,1.65,109/1
3021,鴻名,3.14,108,10.9,1.03,109/1
3022,威強電,2.56,108,10.43,1.02,109/1
3023,信邦,3.52,108,19.42,4.39,109/1
3024,憶聲,2.56,108,47.78,0.91,109/1
3025,星通,3.11,108,16.08,1.58,109/1
3026,禾伸堂,5.65,108,23.75,2.4,109/1
3027,盛達,0,107,-,0.57,109/1
3028,增你強,5.24,108,19.69,0.9,109/1
3029,零壹,5.88,108,11.92,1.71,109/1
3030,德律,6.02,108,13.33,2.29,109/1
3031,佰鴻,5.48,108,12.17,0.98,109/1
3032,偉訓,6.84,108,11,1.45,109/1
3033,威健,3.97,108,19.47,0.96,109/1
3034,聯詠,5.12,108,15.26,3.55,109/1
3035,智原,2.52,108,37.26,2.11,109/1
3036,文曄,7.43,108,8.01,0.98,109/1
3037,欣興,2.74,108,17.9,1.32,109/1
3038,全台,5.83,108,12.34,1.6,109/1
3040,遠見,3.86,108,21.26,1.88,109/1
3041,揚智,0,107,-,0.96,109/1
3042,晶技,4.26,108,21.35,2.03,109/1
3043,科風,0,107,3.84,2.06,109/1
3044,健鼎,6.44,108,9.96,1.69,109/1
3045,台灣大,4.42,108,23.73,4.33,109/1
3046,建碁,2.52,107,-,1.63,109/1
3047,訊舟,1.84,108,-,0.77,109/1
3048,益登,5.67,108,8.87,1.1,109/1
3049,和鑫,3.45,108,8.75,0.89,109/1
3050,鈺德,5.39,108,23.18,0.59,109/1
3051,力特,0,107,-,1,109/1
3052,夆典,4.63,108,12.13,0.76,109/1
3054,立萬利,0,107,-,2.13,109/1
3055,蔚華科,1.45,108,-,1.14,109/1
3056,總太,8.81,108,9.41,1.41,109/1
3057,喬鼎,0,107,-,0.95,109/1
3058,立德,1.51,108,-,0.54,109/1
3059,華晶科,2.07,108,73.33,0.78,109/1
3060,銘異,0,107,-,0.63,109/1
3062,建漢,1.03,108,362.5,0.88,109/1
3090,日電貿,6.68,108,16.58,2.28,109/1
3094,聯傑,4.41,108,44.76,1.38,109/1
3130,一零四,5.47,108,18.04,3.37,109/1
3149,正達,0,107,-,0.98,109/1
3164,景岳,3.33,108,85.89,1.54,109/1
3167,大量,5.06,108,21.35,1.76,109/1
3189,景碩,2.08,108,-,0.86,109/1
3209,全科,6.42,108,11.07,1.34,109/1
3229,晟鈦,0,107,-,1.69,109/1
3231,緯創,6.99,108,12.43,1.1,109/1
3257,虹冠電,4.21,108,37.14,3.36,109/1
3266,昇陽,3.66,108,23.53,0.94,109/1
3296,勝德,2.08,108,-,0.89,109/1
3305,昇貿,5.05,108,14.35,0.66,109/1
3308,聯德,0,107,-,0.68,109/1
3311,閎暉,0,107,-,0.84,109/1
